"Available tasks","Tarefas Disponíveis"
"Scheduled tasks","Tarefas Agendadas"
"Create new job","Criar Novo Job"
"Generate Schedule","Gerar Agendamento"
"Cron Configuration","Configuração da Cron"
"Available Jobs","Jobs Disponíveis"
"Scheduled tasks","Tarefas Agendadas"
"Scheduler Timeline","Linha de Tempo do Agendador"
"Reset overlay","Reiniciar Sobreposição"
"Job ""%s""","Job ""%s"""
"New Job","Novo Job"
"Schedule now","Agendar agora"
"Run now","Processar agora"
"Disable","Desabilitar"
"Enable","Habilitar"
"Job code","Código do Job"
"Name","Nome"
"Short Description","Descrição Curta"
"Cron expression","Expressão da Cron"
"Run model","Processar Model"
"Parameters","Parâmetros"
"Groups","Grupos"
"Type","Tipo"
"Status","Status"
"Job","Job"
"General","Geral"
"e.g. ""aoe_scheduler/task_heartbeat::run""","Ex. ""aoe_scheduler/task_heartbeat::run"""
"Scheduling","Agendando"
"Cron configuration path","Caminho da Configuração da Cron"
"e.g ""*/5 * * * *"" or ""always""","Ex. ""*/5 * * * *"" ou ""always"""
"Extras","Extras"
"Instructions","Instruções"
"Scheduler","Agendador"
"Job Configuration","Configuração do Job"
"List View","Visualizar Lista"
"Kill","Matar"
"Timeline View","Linha do Tempo"
"No heartbeat task found. Check if cron is configured correctly. (<a href=""%s"">See Instructions</a>)","Nenhuma tarefa de batimento cardíaco foi encontrada. Verifique se a cron está configurada corretamente."
"Generated schedule","Gerado agendamento"
"Scheduler is working. (Last heart beat: %s minute(s) ago)","Agendador está funcionando. Último batimento cardíaco: %s minuto(s)."
"Last heartbeat is older than %s minutes.","Último batimento cardíaco foi a %s minutos."
"Setup Instructions","Instruções de Configuração"
"Edit your crontab:","Edite o seu crontab:"
"Add following configuration:","Adicione a seguinte configuração:"
"No tasks found.","Nenhuma tarefa encontrada."

