"Toluca Store&trade; is a trademark of Gamuza Technologies.","Toluca Store&trade; é uma marca registrada da Gamuza Technologies."
"Copyright &copy; %s Gamuza Technologies. All rights reserved.","Copyright &copy; %s Gamuza Technologies. Todos os direitos reservados."
"Payment","Pagamento"
"Color","Cor"
"Is In Stock","Em Estoque"
"Prices","Preços"
"Price View","Visualização de Preço"
"As High as","Maior Preço"
"As Low as One","Menor Preço Único"
"As High as One","Maior Preço Único"
"Price Static","Preço Estático"
"Price Average","Preço Médio"
"Max Length","Tamanho Máximo"
"Size","Tamanho"
"Male","Masculino"
"Female","Feminino"
"Taxvat","CPF/CNPJ"
"Street Address Line 1","Rua"
"Street Address Line 2","Número"
"Street Address Line 3","Complemento"
"Street Address Line 4","Bairro"

