"Gamuza - Payment via PicPay","Gamuza - Pagamento via PicPay"
"Manage Transactions","Gerenciar Transações"
"Transactions Manager","Gerenciador de Transações"
"Order Inc. ID","ID Inc. Pedido"
"Expires At","Expira Em"
"Created","Criado"
"Completed","Completo"
"Callback URL","URL de Callback"
"Return URL","URL de Retorno"
"Buyer E-mail","E-mail do Comprador"
"QR Code Base64","Base64 do QR Code"
"Authorization ID","ID de Autorização"
"Cancellation ID","ID de Cancelamento"
"E-mail Domain","Domínio do E-mail"
"There was an error in the PICPAY transaction. Please try again!","Ocorreu um erro na transação da PICPAY. Por favor, tente novamente!"
"The payment was expired.","O pagamento expirou."
"The payment was approved.","O pagamento foi aprovado."
"Payment URL","URL para Pagamento"
"Analysis","Em Análise"
"Chargedback","Estornado"
"<a target='_blank' href='%s'>See on PicPay</a>","<a target='_blank' href='%s'>Ver no PicPay</a>"
"Paid Status","Status para Pago"

