"About","Sobre"
"Active: %s","Ativo: %s"
"Connected: %s","Conectado: %s"
"Company: %s","Empresa: %s"
"Version: %s","Versão: %s"
"Fantasy: %s","Fantasia: %s"
"Code: %s","Código: %s"
"Company ID","ID Empresa"
"Comp. ID","ID Emp."
"Port","Porta"
"ERP Category ID","ID Categoria ERP"
"ERP Product ID","ID Produto ERP"
"Groups Manager","Gerenciador de Grupos"
"Remove Groups","Remover Grupos"
"Ext. ID","ID Ext."
"Synced At","Sincronizado Em"
"Remove Items","Remover Itens"
"Brands","Marcas"
"Brands Manager","Gerenciador de Marcas"
"Attribute","Atributo"
"Option ID","ID Opção"
"Remove Brands","Remover Marcas"
"Category ID","ID Categoria"
"Category Name","Nome Categoria"
"Attribute not found: %s","Atributo não encontrado: %s"
"Products Manager","Gerenciador de Produtos"
"Remove Products","Remover Produtos"
"Product not found: %s [ %s ]","Produto não encontrado: %s [ %s ]"
"Ext. SKU","SKU Ext."
"Unable to save product image.","Não foi possível salvar a imagem do produto."
"Unable to save customer.","Não foi possível salvar o cliente."
"Unable to save order.","Não foi possível salvar o pedido."
"Unable to save order item: %s %s %s","Não foi possível salvar o item do pedido: %s %s %s"
"Unable to cancel order: %s","Não foi possível cancelar o pedido: %s"
"Customers Manager","Gerenciador de Clientes"
"Customer ID","ID Cliente"
"Customer Taxvat","CPF / CNPJ"
"Ext. Code","Código Ext."
"Remove Customers","Remover Clientes"
"Orders Manager","Gerenciador de Pedidos"
"Order Inc. ID","ID Inc. Pedido"
"Remove Orders","Remover Pedidos"
"Customer was not found.","Cliente não foi encontrado."
"Order was not found.","Pedido não foi encontrado."
"Product was not found: %s %s %s","Produto não foi encontrado: %s %s %s"
"Customer Guest ID","ID Consumidor Final"
"Default User ID","ID Usuário Padrão"
"Default Cashier ID","ID Caixa Padrão"
"Default Seller ID","ID Vendedor Padrão"
"Default Batch ID","ID Lote Padrão"
"Brands were successfully removed.","Marcas foram removidas com sucesso."
"Groups were successfully removed.","Grupos foram removidos com sucesso."
"Products were successfully removed.","Produtos foram removidos com sucesso."
"Customers were successfully removed.","Clientes foram removidos com sucesso."
"Orders were successfully removed.","Pedidos foram removidos com sucesso."

