"Machine On Delivery Payment","Pagamento com Maquininha na Entrega"
"Card Type","Tipo do Cartão"
"Need Change","Precisa de Troco"
"Change Amount","Valor do Troco"
"Cash Amount","Valor em Dinheiro"
"Change type is not allowed for this payment method.","Tipo de troco não é permitido para este tipo de pagamento."
"Cash amount must be equal or greater than %s.","O valor do dinheiro deve ser igual ou maior que %s."
"Change To Amount","Troco para Quanto"
"Rating %s star(s): %s","Avaliação %s estrela(s): %s"
"Default Email Prefix","Prefixo do Email Padrão"
"Order: %s-%s","Pedido: %s-%s"
"Customer: %s","Cliente: %s"
"Total Items Qty: %s","Qtde Total Itens: %s"
"Payment method is not available.","Forma de pagamento não disponível."

