"Credit Card Owner's Name","Nome do Dono do Cartão"
"Installments","Parcelas"
"sender hash invalid.","Sender Hash inválido."
"items invalid quantity.","Quantidade inválida de itens."
"currency is required.","Moeda é obrigatório."
"sender email is required.","E-mail do comprador obrigatório."
"sender name is required.","Nome do comprador obrigatório."
"sender area code is required.","Código de área do comprador obrigatório."
"sender phone is required.","Telefone do comprador obrigatório."
"shipping address postal code is required.","CEP do comprador obrigatório."
"shipping address street is required.","Endereço de entrega do comprador obrigatório."
"shipping address number is required.","Número do endereço de entrega obrigatório."
"shipping address district is required.","Bairro para entrega obrigatório."
"shipping address city is required.","Cidade de entrega é obrigatório."
"shipping address state is required.","Estado para entrega obrigatório."
"shipping address country is required.","País é obrigatório."
"credit card token is required.","Token do cartão de crédito é obrigatório."
"installment quantity is required.","Número de parcelas é obrigatório."
"installment value is required.","Valor da parcela é obrigatório."
"credit card holder name is required.","Nome do portador do cartão é obrigatório."
"credit card holder cpf is required.","CPF do dono do cartão é obrigatório."
"credit card holder birthdate is required.","Data de Nascimento do dono do cartão é obrigatório."
"credit card holder area code is required.","DDD do dono do cartão é obrigatório."
"credit card holder phone is required.","Telefone do dono do cartão é obrigatório."
"billing address postal code is required.","CEP do endereço de cobrança é obrigatório."
"billing address street is required.","Rua do endereço de cobrança é obrigatório."
"billing address number is required.","Número do endereço de cobrança é obrigatório."
"billing address district is required.","Bairro do endereço de cobrança é obrigatório."
"billing address city is required.","Cidade do endereço de cobrança é obrigatório."
"billing address state is required.","Estado do endereço de cobrança é obrigatório."
"billing address country is required.","País do endereço de cobrança é obrigatório."
"item id is required.","ID do item é obrigatório."
"item description is required.","Descrição do item é obrigatório."
"item quantity is required.","Quantidade do item é obrigatório."
"item amount is required.","Valor do item é obrigatório."
"sender is related to receiver.","Comprador está relacionado com o recebedor."
"payment method unavailable.","Método de pagamento indisponível."
"invalid credit card data.","Dados do cartão inválido."
"sender hash invalid.","Identificação do comprador(hash) inválido."
"credit card brand is not accepted.","Bandeira do cartão não é aceita."
"payment mode invalid value, valid values are default and gateway.","PaymentMode inváido, valores válidos são default e gateway."
"payment method invalid value, valid values are creditCard, boleto e eft.","PaymentMethod inválido, valores válidos são creditCard, boleto e eft"
"shipping cost was provided, shipping address must be complete.","Custo de envio foi fornecido, endereço de envio deve estar completo."
"sender information was provided, email must be provided too.","Informações do comprador foram fornecidas, email também deve ser fornecido."
"credit card holder is incomplete.","Dados do dono do cartão incompletos."
"shipping address information was provided, sender email must be provided too.","Endereço de entrega foi informado, o e-mail do comprador também deve ser fornecido."
"eft bank is required.","Banco para EFT deve ser informado."
"eft bank is not accepted.","Banco não é aceito."
"sender is blocked.","Comprador bloqueado."
"credit card token invalid.","Token de cartão de crédito inválido."
"Credit Card Owner's CPF","CPF do Dono do Cartão"
"Credit Card Number","Número do Cartão"
"Your CPF","Seu CPF"
"Send new order email","Enviar e-mail de novo pedido"
"items invalid quantity.","Quantidade inválida de itens"
"currency is required.","Moeda é obrigatório"
"currency invalid value: %s","Moeda inválida: %s"
"reference invalid length: %s","Referência com tamanho inválido: %s"
"notificationURL invalid length: %s","Tamanho inválido do notificationURL: %s"
"notificationURL invalid value: %s","Valor inválido do notificationURL: %s"
"sender email is required.","Email do comprador é obrigatório"
"sender email invalid length: %s","Tamanho inválido do email do comprador: %s"
"sender email invalid value: %s","Email do comprador incorreto: %s"
"sender name is required.","Nome do comprador é obrigatório"
"sender name invalid length: %s","Nome do comprador com tamanho inválido: %s"
"sender name invalid value: %s","Nome do comprador com valor inválido: %s"
"sender cpf invalid value: %s","CPF do comprador inválido"
"sender area code is required.","Código de área do comprador é obrigatório"
"sender area code invalid value: %s","Código de área do comprador inválido: %s"
"sender phone is required.","Telefone do comprador é obrigatório."
"sender phone invalid value: %s","Telefone do comprador inválido: %s"
"shipping address postal code is required.","CEP de entrega é obrigatório"
"shipping address postal code invalid value: %s","CEP de entrega inválido: %s"
"shipping address street is required.","Endereço de entrega é obrigatório."
"shipping address street invalid length: %s","Endereço de entrega com tamanho inválido: %s"
"shipping address number is required.","Número do endereço de entrega é obrigatório."
"shipping address number invalid length: %s","Número do endereço de entrega com tamanho inválido: %s"
"shipping address complement invalid length: %s","Complemento do endereço de entrega com tamanho inválido: %s"
"shipping address district is required.","Bairro de entrega é obrigatório"
"shipping address district invalid length: %s","Bairro de entrega com tamanho inválido: %s"
"shipping address city is required.","Cidade de entrega é obrigatório."
"shipping address city invalid length: %s","Cidade de entrega com tamanho inválido: %s"
"shipping address state is required.","Estado de entrega é obrigatório."
"shipping address state invalid value: %s","Estado de entrega com valor inválido: %s"
"shipping address country is required.","País de entrega é obrigatório."
"shipping address country invalid length: %s","País de entrega com tamanho inválido: %s"
"credit card token is required.","Token do cartão é obrigatório."
"installment quantity is required.","Quantidade de parcelas é obrigatório."
"installment quantity invalid value: %s","Quantidade de parcelas incorreto: %s"
"installment value is required.","Valor da parcela é obrigatório."
"installment value invalid value: %s","Valor da parcela inválido: %s"
"credit card holder name is required.","Nome do titular do cartão é obrigatório."
"credit card holder name invalid length: %s","Nome do titular do cartão com tamanho inválido: %s"
"credit card holder name invalid value: %s","Nome do titular do cartão incorreto: %s"
"credit card holder cpf is required.","CPF do titular do cartão é obrigatório."
"credit card holder cpf invalid value: %s","CPF do titular do cartão inválido: %s"
"credit card holder birthdate is required.","Data de nascimento do titular do cartão é obrigatório."
"credit card holder birthdate invalid value: %s","Data de nascimento do titular do cartão incorreto: %s"
"credit card holder area code is required.","Código de área do titular do cartão é obrigatório."
"credit card holder area code invalid value: %s","Código de área do titular do cartão inválido: %s"
"credit card holder phone is required.","Telefone do titular do cartão é obrigatório."
"credit card holder phone invalid value: %s","Telefone do titular do cartão inválido: %s"
"billing address postal code is required.","CEP de cobrança é obrigatório."
"billing address postal code invalid value: %s","CEP de cobrança inválido: %s"
"billing address street is required.","Endereço de cobrança é obrigatório."
"billing address street invalid length: %s","Endereço de cobrança com tamanho inválido: %s"
"billing address number is required.","Número do endereço de cobrança é obrigatório."
"billing address number invalid length: %s","Número do endereço de cobrança com tamanho inválido: %s"
"billing address complement invalid length: %s","Complemento do endereço de cobrança com tamanho inválido: %s"
"billing address district is required.","Bairro do endereço de cobrança é obrigatório."
"billing address district invalid length: %s","Bairro do endereço de cobrança com tamanho inválido: %s"
"billing address city is required.","Cidade do endereço de cobrança é obrigatório."
"billing address city invalid length: %s","Cidade do endereço de cobrança com tamanho inválido: %s"
"billing address state is required.","Estado do endereço de cobrança é obrigatório."
"billing address state invalid value: %s","Estado do endereço de cobrança inválido: %s"
"billing address country is required.","País do endereço de cobrança é obrigatório."
"billing address country invalid length: %s","País do endereço de cobrança com tamanho inválido: %s"
"receiver email invalid length: %s","E-mail do vendedor com tamanho inválido: %s"
"receiver email invalid value: %s","E-mail do vendedor inválido: %s"
"item id is required.","Id do item é obrigatório."
"item id invalid length: %s","Id do item possuí tamanho inválido: %s"
"item description is required.","Descrição do item é obrigatório."
"item description invalid length: %s","Descrição do item com tamanho inválido: %s"
"item quantity is required.","Quantidade do item é obrigatório."
"item quantity out of range: %s","Quantidade do item fora do permitido: %s"
"item quantity invalid value: %s","Quantidade do item inválida: %s"
"item amount is required.","Valor do item é obrigatório."
"item amount invalid pattern: %s. Must fit the patern: \\d+.\\d\{2\}","Valor do item deve seguir o padrão: \\d+.\\d\{2\}"
"item amount out of range: %s","Valor do item fora do permitido: %s"
"sender is related to receiver.","O comprador está relacionado ao vendedor."
"invalid receiver: %s, verify receiver's account status and if it is a seller's account.","Vendedor inválido: %s, verifique se a conta do lojista é uma conta de vendedor."
"payment method unavailable.","Método de pagamento não disponível."
"cart total amount out of range: %s","Valor total do carrinho fora do permitido: %s"
"invalid credit card data.","Dados de cartão inválidos."
